icao_code,iata_code,name,city,country,altitude,lat_decimal,lon_decimal,id
AYGA,GKA,GOROKA,GOROKA,PAPUA NEW GUINEA,1610,-6.082,145.392,1
AYLA,LAE,N/A,LAE,PAPUA NEW GUINEA,0,0,0,2
AYMD,MAG,MADANG,MADANG,PAPUA NEW GUINEA,7,-5.207,145.789,3
AYMH,HGU,MOUNT HAGEN,MOUNT HAGEN,PAPUA NEW GUINEA,1643,-5.826,144.296,4
AYNZ,LAE,NADZAB,NADZAB,PAPUA NEW GUINEA,73,-6.57,146.726,5
AYPY,POM,PORT MORESBY JACKSONS INTERNATIONAL,PORT MORESBY,PAPUA NEW GUINEA,45,-9.443,147.22,6
AYRB,RAB,N/A,RABAUL,PAPUA NEW GUINEA,0,0,0,7
AYWK,WWK,WEWAK INTERNATIONAL,WEWAK,PAPUA NEW GUINEA,6,-3.584,143.669,8
BGAM,N/A,N/A,ANGMAGSSALIK,GREENLAND,0,0,0,9
BGAS,N/A,N/A,ANGISSOQ,GREENLAND,0,0,0,10
BGAT,N/A,N/A,APUTITEQ,GREENLAND,0,0,0,11
BGBW,UAK,NARSARSUAQ,NARSSARSSUAQ,GREENLAND,35,61.161,-45.427,12
BGCH,JCH,N/A,CHRISTIANSHAAB,GREENLAND,0,0,0,13
BGCO,N/A,NERLERIT INAAT CONSTABLE PYNT,NERLERIT INAAT,GREENLAND,14,70.739,-22.646,14
BGDB,N/A,N/A,DANEBORG,GREENLAND,0,0,0,15
BGDH,N/A,N/A,DANMARKSHAVN,GREENLAND,0,0,0,16
BGDU,N/A,N/A,DUNDAS,GREENLAND,0,0,0,17
BGEM,JEG,N/A,EGEDESMINDE,GREENLAND,0,0,0,18
BGFD,N/A,N/A,FREDERIKSDAL,GREENLAND,0,0,0,19
BGFH,JFR,N/A,FREDERIKSHAAB,GREENLAND,0,0,0,20
BGGD,JGR,N/A,GRONNEDAL,GREENLAND,0,0,0,21
BGGH,GOH,NUUK,GODTHAAB,GREENLAND,87,64.191,-51.678,22
BGGN,JGO,N/A,GODHAVN,GREENLAND,0,0,0,23
BGHB,JHS,N/A,HOLSTEINSBORG,GREENLAND,0,0,0,24
BGIS,N/A,N/A,ISORTOQ,GREENLAND,0,0,0,25
BGIT,N/A,N/A,IVIGTUT,GREENLAND,0,0,0,26
BGJH,JJU,N/A,JULIANEHAAB,GREENLAND,0,0,0,27
BGJN,JAV,JACOBSHAVN,JAKOBSHAVN,GREENLAND,34,69.233,-51.067,28
BGKD,N/A,N/A,KAP DAN,GREENLAND,0,0,0,29
BGKK,KUS,KULUSUK,KULUSUK,GREENLAND,34,65.583,-37.15,30
BGKM,N/A,N/A,KUNGMIUT,GREENLAND,0,0,0,31
BGKT,N/A,N/A,KAP TOBIN,GREENLAND,0,0,0,32
BGMV,N/A,N/A,MESTERS VIG,GREENLAND,0,0,0,33
BGNN,JNN,N/A,NANORTALIK,GREENLAND,0,0,0,34
BGNS,JNS,N/A,NARSSAQ,GREENLAND,0,0,0,35
BGOS,N/A,N/A,ORSSUIORSSUAQ,GREENLAND,0,0,0,36
BGPC,N/A,N/A,PRINS CHRISTIAN SUND,GREENLAND,0,0,0,37
BGRS,N/A,N/A,RAVNS STORO,GREENLAND,0,0,0,38
BGSC,N/A,N/A,SCORESBYSUND,GREENLAND,0,0,0,39
BGSF,SFJ,KANGERLUSSUAQ SONDRE STROMFJORD,SONDRESTROM,GREENLAND,51,67.017,-50.689,40
BGSG,N/A,N/A,SERMILIGAO,GREENLAND,0,0,0,41
BGST,JSU,N/A,SUKKERTOPPEN,GREENLAND,0,0,0,42
BGTL,THU,THULE AIR BASE,THULE,GREENLAND,77,76.531,-68.703,43
BGTM,N/A,N/A,TINGMIARMIUT,GREENLAND,0,0,0,44
BGTN,N/A,N/A,TINITEQILAQ,GREENLAND,0,0,0,45
BGUM,N/A,N/A,UMANAK,GREENLAND,0,0,0,46
BGUP,JUV,N/A,UPERNAVIK,GREENLAND,0,0,0,47
BIAR,AEY,AKUREYRI,AKUREYRI,ICELAND,2,65.66,-18.072,48
BIBL,N/A,N/A,BLONDUOS,ICELAND,0,0,0,49
BIDV,N/A,N/A,DJUOIVOGUR,ICELAND,0,0,0,50
BIEG,EGS,EGILSSTADIR,EGILSSTADIR,ICELAND,24,65.283,-14.401,51
BIFM,N/A,N/A,FAGURHOLSMYRI,ICELAND,0,0,0,52
BIGR,GRY,N/A,GRIMSEY,ICELAND,0,0,0,53
BIHN,HFN,HORNAFJORDUR,HOFN,ICELAND,8,64.296,-15.227,54
BIHU,HZK,HUSAVIK,HUSAVIK,ICELAND,14,65.952,-17.426,55
BIIS,IFJ,ISAFJORDUR,ISAFJORDUR,ICELAND,3,66.058,-23.135,56
BIKF,KEF,KEFLAVIK NAS,KEFLAVIK,ICELAND,53,63.985,-22.606,57
BIKP,OPA,KOPASKER,KOPASKER,ICELAND,7,66.314,-16.461,58
BIKR,SAK,N/A,SAUDARKROKUR,ICELAND,0,0,0,59
BINF,NOR,N/A,NORDFJORDUR,ICELAND,0,0,0,60
BIPA,PFJ,PATREKSFJORDUR,PATREKSFJORDUR,ICELAND,4,65.556,-23.965,61
BIRG,RFN,N/A,RAUFARHOFN,ICELAND,0,0,0,62
BIRK,RKV,REYKJAVIK,REYKJAVIK,ICELAND,15,64.13,-21.941,63
BISI,SIJ,SIGLUFJORDHUR,SIGLUFJORDUR,ICELAND,4,66.133,-18.917,64
BISS,N/A,N/A,SANDSKEID,ICELAND,0,0,0,65
BIST,N/A,N/A,STYKKISHOLMUR,ICELAND,0,0,0,66
BITE,TEY,N/A,THINGEYRI,ICELAND,0,0,0,67
BITH,THO,N/A,THORSHOFN,ICELAND,0,0,0,68
BIVM,VEY,VESTMANNAEYJAR,VESTMANNAEYJAR,ICELAND,100,63.424,-20.279,69
BIVO,VPN,N/A,VOPNAFJORDUR,ICELAND,0,0,0,70
BZGD,N/A,N/A,GODLEY,NEW ZEALAND,0,0,0,71
CUAP,N/A,N/A,ACTIVE PASS,CANADA,0,0,0,72
CUHA,YQC,N/A,QUAQTAQ,CANADA,0,0,0,73
CUQC,N/A,N/A,STIRLING,CANADA,0,0,0,74
