icao_code,iata_code,name,city,country,altitude,lat_decimal,lon_decimal,id
KABI,ABI,ABILENE RGNL,ABILENE,USA,546,32.411,-99.682,3381
KABQ,ABQ,N/A,ALBUQUERQUE,USA,0,0,0,3382
KACK,ACK,NANTUCKET MEM,NANTUCKET,USA,15,41.253,-70.06,3383
KACT,ACT,WACO RGNL,WACO,USA,158,31.611,-97.23,3384
KACY,ACY,ATLANTIC CITY INTERNATIONAL,ATLANTIC CITY,USA,23,39.458,-74.577,3385
KADM,ADM,ARDMORE MUNI,ARDMORE,USA,233,34.303,-97.019,3386
KADW,ADW,ANDREWS AFB,CAMP SPRINGS,USA,86,38.811,-76.867,3387
KAEX,AEX,ALEXANDRIA INTERNATIONAL,ALEXANDRIA,USA,28,31.327,-92.548,3388
KAFB,N/A,N/A,SHEPPARD,USA,0,0,0,3389
KAGS,AGS,AUGUSTA RGNL AT BUSH FLD,BUSH FIELD,USA,44,33.37,-81.964,3390
KAKR,AKR,AKRON FULTON INTERNATIONAL,AKRON,USA,326,41.038,-81.467,3391
KALB,ALB,ALBANY INTERNATIONAL,ALBANY,USA,87,42.748,-73.803,3392
KALI,ALI,ALICE INTERNATIONAL,ALICE,USA,55,27.741,-98.027,3394
KAMA,AMA,AMARILLO INTERNATIONAL,AMARILLO,USA,1100,35.219,-101.706,3395
KANB,ANB,ANNISTON METROPOLITAN,ANNISTON,USA,187,33.588,-85.858,3396
KAND,AND,ANDERSON RGNL,ANDERSEN,USA,239,34.495,-82.709,3397
KAOO,AOO,ALTOONA BLAIR CO,ALTOONA,USA,459,40.296,-78.32,3398
KAPG,APG,PHILLIPS AAF,ABERDEEN,USA,18,39.466,-76.169,3399
KARA,ARA,ACADIANA REGIONAL,LOUISIANA,USA,8,30.038,-91.884,3400
KART,ART,WATERTOWN INTERNATIONAL,WATERTOWN,USA,100,43.992,-76.022,3401
KATL,ATL,THE WILLIAM B HARTSFIELD ATLANTA INTERNATIONAL,ATLANTA,USA,313,33.64,-84.427,3402
KAUG,AUG,AUGUSTA STATE,AUGUSTA,USA,108,44.321,-69.797,3403
KAUS,AUS,AUSTIN BERGSTROM INTERNATIONAL,AUSTIN,USA,166,30.194,-97.67,3404
KAYE,N/A,N/A,FORT DEVENS,USA,0,0,0,3405
KBAB,BAB,BEALE AFB,MARYSVILLE,USA,35,39.136,-121.436,3406
KBAD,BAD,BARKSDALE AFB,SHREVEPORT,USA,51,32.502,-93.663,3407
KBCT,BCT,BOCA RATON,BOCA RATON,USA,4,26.378,-80.107,3408
KBDE,BDE,BAUDETTE INTERNATIONAL,BAUDETTE,USA,332,48.728,-94.612,3409
KBDL,BDL,BRADLEY INTERNATIONAL,WINDSOR LOCKS,USA,53,41.939,-72.683,3410
KBDR,BDR,IGOR I SIKORSKY MEM,STRATFORD,USA,3,41.163,-73.126,3411
KBED,BED,LAURENCE G HANSCOM FLD,BEDFORD,USA,41,42.47,-71.289,3412
KBFI,BFI,BOEING FLD KING CO INTERNATIONAL,SEATTLE,USA,6,47.53,-122.302,3413
KBFL,BFL,MEADOWS FLD,BAKERSFIELD,USA,155,35.433,-119.057,3414
KBFM,BFM,MOBILE DOWNTOWN,MOBILE,USA,8,30.626,-88.068,3415
KBGR,BGR,BANGOR INTERNATIONAL,BANGOR,USA,59,44.807,-68.828,3416
KBGS,N/A,N/A,BIG SPRINGS,USA,0,0,0,3417
KBHM,BHM,BIRMINGHAM INTERNATIONAL,BIRMINGHAM,USA,197,33.563,-86.753,3418
KBIF,BIF,BIGGS AAF,EL PASO,USA,1203,31.849,-106.38,3419
KBIX,BIX,KEESLER AFB,BILOXI,USA,11,30.411,-88.924,3420
KBKF,BKF,BUCKLEY AFB,BUCKLEY,USA,1726,39.702,-104.751,3421
KBLI,BLI,BELLINGHAM INTERNATIONAL,BELLINGHAM,USA,52,48.792,-122.537,3422
KBLV,BLV,SCOTT AFB MIDAMERICA,BELLEVILLE,USA,140,38.545,-89.835,3423
KBNA,BNA,NASHVILLE INTERNATIONAL,NASHVILLE,USA,183,36.124,-86.678,3424
KBOF,N/A,N/A,WASHINGTON,USA,0,0,0,3425
KBOI,BOI,BOISE AIR TERMINAL,BOISE,USA,876,43.564,-116.223,3426
KBOS,BOS,GENERAL EDWARD LAWRENCE LOGAN INTERNATIONAL,BOSTON,USA,6,42.364,-71.005,3427
KBPT,BPT,SOUTHEAST TEXAS RGNL,BEAUMONT,USA,5,29.951,-94.021,3428
KBRO,BRO,BROWNSVILLE SOUTH PADRE ISLAND INTERNATIONAL,BROWNSVILLE,USA,7,25.907,-97.426,3429
KBSM,N/A,N/A,AUSTIN,USA,0,0,0,3430
KBTR,BTR,BATON ROUGE METRO RYAN FLD,BATON ROUGE,USA,22,30.533,-91.149,3431
KBTV,BTV,BURLINGTON INTERNATIONAL,BURLINGTON,USA,103,44.472,-73.153,3432
KBUF,BUF,BUFFALO NIAGARA INTERNATIONAL,BUFFALO,USA,221,42.94,-78.732,3433
KBUR,BUR,BURBANK GLENDALE PASADENA,BURBANK,USA,238,34.201,-118.359,3434
KBWI,BWI,BALTIMORE WASHINGTON INTERNATIONAL,BALTIMORE,USA,45,39.175,-76.668,3435
KBYH,BYH,ARKANSAS INTERNATIONAL,BLYTHEVILLE,USA,77,35.964,-89.943,3436
KBYS,BYS,BICYCLE LAKE AAF,FORT IRWIN,USA,717,35.28,-116.63,3437
KCAE,CAE,COLUMBIA METROPOLITAN,COLOMBIA,USA,72,33.939,-81.119,3438
KCAR,CAR,CARIBOU MUNI,CARIBOU,USA,191,46.871,-68.018,3439
KCBM,CBM,COLUMBUS AFB,COLOMBUS,USA,67,33.644,-88.444,3440
KCDC,CDC,CEDAR CITY RGNL,CEDAR CITY,USA,1714,37.701,-113.099,3441
KCDS,CDS,CHILDRESS MUNI,CHILDRESS,USA,596,34.434,-100.288,3442
KCEF,CEF,WESTOVER ARB METROPOLITAN,CHICOPEE FALLS,USA,75,42.198,-72.534,3443
KCEW,CEW,BOB SIKES,CRESTVIEW,USA,65,30.779,-86.522,3444
KCFD,CFD,COULTER FLD,BRYAN,USA,112,30.716,-96.331,3445
KCGJ,N/A,N/A,MCCONNELL,USA,0,0,0,3446
KCHA,CHA,LOVELL FLD,CHATTANOOGA,USA,208,35.035,-85.204,3447
KCHD,N/A,N/A,CHANDLER,USA,0,0,0,3448
KCHS,CHS,CHARLESTON AFB INTERNATIONAL,CHARLESTON,USA,14,32.899,-80.04,3449
KCIC,CIC,CHICO MUNI,CHICO,USA,73,39.795,-121.858,3450
KCLE,CLE,CLEVELAND HOPKINS INTERNATIONAL,CLEVELAND,USA,242,41.412,-81.85,3451
KCLL,CLL,EASTERWOOD FLD,COLLEGE STATION,USA,98,30.588,-96.364,3452
KCLT,CLT,CHARLOTTE DOUGLAS INTERNATIONAL,CHARLOTTE,USA,229,35.214,-80.943,3453
KCMH,CMH,PORT COLUMBUS INTERNATIONAL,COLUMBUS,USA,249,39.998,-82.892,3454
KCNM,CNM,CAVERN CITY AIR TERMINAL,CARLSBAD,USA,1005,32.337,-104.263,3455
KCNW,CNW,TSTC WACO,WACO,USA,144,31.638,-97.074,3456
KCOF,COF,PATRICK AFB,COCO BEACH,USA,3,28.235,-80.61,3457
KCOS,COS,CITY OF COLORADO SPRINGS MUNI,COLORADO SPRINGS,USA,1885,38.806,-104.7,3458
KCOT,COT,COTULLA LA SALLE CO,COTULLA,USA,146,28.458,-99.22,3459
KCOU,COU,COLUMBIA RGNL,COLUMBIA,USA,271,38.818,-92.219,3460
KCPR,CPR,NATRONA CO INTERNATIONAL,CASPER,USA,1631,42.908,-106.464,3461
KCRP,CRP,CORPUS CHRISTI INTERNATIONAL,CORPUS CHRISTI,USA,14,27.77,-97.501,3462
KCTB,CTB,CUT BANK MUNI,CUTBANK,USA,1175,48.608,-112.376,3463
KCUS,N/A,N/A,COLUMBUS,USA,0,0,0,3464
KCVG,CVG,CINCINNATI NORTHERN KENTUCKY INTERNATIONAL,CINCINNATI,USA,274,39.046,-84.662,3465
KCVS,CVS,CANNON AFB,CLOVIS,USA,1310,34.383,-103.322,3466
KCXL,CXL,CALEXICO INTERNATIONAL,CALEXICO,USA,2,32.669,-115.513,3467
KCXO,CXO,MONTGOMERY CO,CONROE,USA,75,30.352,-95.414,3468
KCYS,CYS,CHEYENNE,CHEYENNE,USA,1877,41.156,-104.812,3469
KDAL,DAL,DALLAS LOVE FLD,DALLAS,USA,149,32.847,-96.852,3470
