origin_iata,origin_lon,origin_lat,dest_iata,dest_lon,dest_lat,total
LAX,-118.40853,33.9415889,SFO,-122.3789554,37.6213129,345
ORD,-87.9073214,41.9741625,ATL,-84.4277001,33.6407282,293
ORD,-87.9073214,41.9741625,DFW,-97.0403352,32.8998091,281
MSP,-93.2222846,44.8847554,ORD,-87.9073214,41.9741625,277
IAH,-95.3367827,29.9902199,DFW,-97.0403352,32.8998091,276
SFO,-122.3789554,37.6213129,LAX,-118.40853,33.9415889,273
ORD,-87.9073214,41.9741625,MSP,-93.2222846,44.8847554,269
DEN,-104.6737376,39.8560963,SLC,-111.9790706,40.7899404,267
LAS,-115.1537389,36.0839998,LAX,-118.40853,33.9415889,267
DEN,-104.6737376,39.8560963,LAX,-118.40853,33.9415889,266
LAX,-118.40853,33.9415889,LAS,-115.1537389,36.0839998,265
ATL,-84.4277001,33.6407282,ORD,-87.9073214,41.9741625,263
LAX,-118.40853,33.9415889,DEN,-104.6737376,39.8560963,262
IND,-86.2955952,39.7168593,ORD,-87.9073214,41.9741625,254
SLC,-111.9790706,40.7899404,DEN,-104.6737376,39.8560963,254
ORD,-87.9073214,41.9741625,LAX,-118.40853,33.9415889,237
DFW,-97.0403352,32.8998091,ORD,-87.9073214,41.9741625,230
DEN,-104.6737376,39.8560963,SFO,-122.3789554,37.6213129,229
LAX,-118.40853,33.9415889,ORD,-87.9073214,41.9741625,224
CVG,-84.6630165,39.0532746,ORD,-87.9073214,41.9741625,221
DEN,-104.6737376,39.8560963,MSP,-93.2222846,44.8847554,220
DTW,-83.3553842,42.2161722,ORD,-87.9073214,41.9741625,219
DEN,-104.6737376,39.8560963,SEA,-122.3088165,47.4502499,216
LAX,-118.40853,33.9415889,SEA,-122.3088165,47.4502499,216
SEA,-122.3088165,47.4502499,LAX,-118.40853,33.9415889,215
LAX,-118.40853,33.9415889,ATL,-84.4277001,33.6407282,211
DFW,-97.0403352,32.8998091,IAH,-95.3367827,29.9902199,210
SEA,-122.3088165,47.4502499,DEN,-104.6737376,39.8560963,210
MSP,-93.2222846,44.8847554,DEN,-104.6737376,39.8560963,209
ORD,-87.9073214,41.9741625,IND,-86.2955952,39.7168593,208
SFO,-122.3789554,37.6213129,DEN,-104.6737376,39.8560963,207
ATL,-84.4277001,33.6407282,DEN,-104.6737376,39.8560963,205
